,name,description,id
47,Bambi bag charm,Riccardo Tisci鈥檚 iconic Bambi print was first witnessed during Givenchy鈥檚 FW13 catwalk show and has gone on to become a cult graphic for French fashion house. Constructed from black leather with a multicolour Bambi illustration; this playful Givenchy bag charm fastens with a loop strap and and a push stud closure.,91
48,charm keyring,Black fox fur charm keyring from Moncler featuring a lobster clasp fastening and a hanging logo plaque. Please note that this item cannot be shipped outside the E.U..,91
49,embellished bag strap,"Update your favourite Dolce & Gabbana bag with this embellished bag strap for a new edge this Autumn Winter 2017. Crafted from luxury Italian pale pink calf leather, this bag strap features gold-tone lobster claw fastenings and is decorated fuchsia pink, gold-tone, electric blue and white rounded and star stud details.",91
50,'A' sticker,"Multicolour goatskin 'A' sticker from Anya Hindmarch. Created in collaboration with Charlotte Stockdale of Chaos Fashion, these stickers are designed to adhere to any surface permanently, so once attached they cannot be removed.",91
51,J.crew Plaid Leather Luggage Tag - Black,Tartan plaid brings classic preppy style to an Italian-leather luggage tag that serves as a chic way to ID your bag at pickup. Style Name:J.crew Plaid Leather Luggage Tag. Style Number: 5720377. Available in stores.,91
52,mini Strap You bag strap,"Karl Lagerfeld has been heading up the institution of the legacy bound Fendi for over fifty years. The, 'Strap You' pieces are the ideal interchangeable accessories to switch up your favourite Fendi tote. Available in a rainbow of colours and boasting everything from crystal embellishments to multicoloured fur pom-poms, the pairing possibilities are endless. This contemporary piece was fashioned from beige calf leather and silver-toned metalwork. The mini Strap You bag accessory features a lobster claw fastening, an internal logo stamp and coloured oversized studs.",91
53,'X' sticker,"Multicolour goatskin 'X' sticker from Anya Hindmarch. Created in collaboration with Charlotte Stockdale of Chaos Fashion, these stickers are designed to adhere to any surface permanently, so once attached they cannot be removed.",91
54,HRTG STRP GTAR STRAP,Michael Michael Kors HRTG STRP GTAR STRAP,91
55,floral stud detachable strap,Jade green leather floral stud detachable strap from Orciani.,91
56,bag charm flower,Green leather bag charm flower from Sonia Rykiel.,91
57,strap bag attachment,"The collection from Fendi features playfully striking detailing - elaborating the elegantly decadent spirit of the brand. Revive your Fendi bag with this light blue leather strap bag attachment. Made in Italy, it features a clip fastening, silver-tone hardware and is finished with pyramid studs.",91
58,Strap You studded strap,"Update your favourite everyday bag with this Strap You studded strap from Fendi. Crafted from luxury white calf leather, this Strap You features lobster claw fastenings, a rear logo stamp and is decorated with scalloped details and multicoloured conical studs across it.",91
59,embellished bag strap,Light blue and red leather embellished bag strap from Dolce & Gabbana featuring rounded studs.,91
60,rainbow bag charm,Multicoloured mink rainbow bag charm from Anya Hindmarch.,91
61,Ouch sticker,"Pale gold leather Ouch sticker from Anya Hindmarch. Created in collaboration with Charlotte Stockdale of Chaos Fashion, these stickers are designed to adhere to any surface permanently, so once attached they cannot be removed.",91
62,'X' sticker,"Multicolour goatskin 'X' sticker from Anya Hindmarch. Created in collaboration with Charlotte Stockdale of Chaos Fashion, these stickers are designed to adhere to any surface permanently, so once attached they cannot be removed.",91
63,Bambi bag charm,Riccardo Tisci鈥檚 iconic Bambi print was first witnessed during Givenchy鈥檚 FW13 catwalk show and has gone on to become a cult graphic for French fashion house. Constructed from black leather with a multicolour Bambi illustration; this playful Givenchy bag charm fastens with a loop strap and and a push stud closure.,91
64,Heart sticker,"Red and black suede and crystal Heart sticker from Anya Hindmarch featuring a heart diamante motif. Created in collaboration with Charlotte Stockdale of Chaos Fashion, these stickers are designed to adhere to any surface permanently, so once attached they cannot be removed.",91
65,Cathy's Concepts Monogram Vegan Leather Tech Travel Case -,"Elasticized bands to keep cords tangle free and a roomy pocket make this vegan leather case an ideal solution for organizing your tech essentials for travel. Plus, it can be personalized with an initial of your choice. Style Name: Cathy's Concepts Monogram Vegan Leather Tech Travel Case. Style Number: 5700163 1. Available in stores.",91
66,I logo sticker,"Chalk white leather I logo sticker from Anya Hindmarch. Created in collaboration with Charlotte Stockdale of Chaos Fashion, these stickers are designed to adhere to any surface permanently, so once attached they cannot be removed.",91
67,Fjallraven Kanken Cotton Mini Shoulder Pads - Red,Add instant cushioning to the straps of the Fjallraven Mini Kanken backpack (sold separately) with these easy-to-install shoulder pads that attach with buttoned hook-and-loop closures. Style Name: Fjallraven Kanken Cotton Mini Shoulder Pads. Style Number: 5383137. Available in stores.,91
68,Cathy's Concept Monogram Tech Travel Case - Grey,"Elasticized bands to keep cords tangle free and a roomy pocket make this faux leather case an ideal solution for organizing your tech essentials for travel. Plus, it can be personalized with an initial of your choice. Style Name: Cathy's Concept Monogram Tech Travel Case. Style Number: 5700163 1. Available in stores.",91
69,Kid bag charm,"The wonderfully creative Karl Lagerfield continues to create adorable fun fur pieces for Fendi. Who needs a pet when you have this fluffy little monster on your arm? This multicolored fox fur and mink fur Kid bag charm from Fendi features a leather strap and a silver-tone palladium spring clip, ring and engraved logo tag. Please note that this item cannot be shipped outside the E.U..",91
70,beaded bag strap,"Italian label Dolce & Gabbana bring their baroque taste for ornamentation to this detachable bag strap, crafted in light pink and green calf leather. The saffiano textured strap features a zigzag contrast design, finished with multicolour enamel and metal dome beads, a logo stamped inverse and gold-tone adjustable fastenings.",91
71,Fringe-eyes charm,"Add a playful vibe to your ensemble with Fendi's Fringe-eyes charm. Crafted from leather and metal, this red and blue Fringe-eyes charm features a silver-tone chain with spring clip, a blue faux-fur motif with long red leather fringes to create a Fendi Faces shape and a metal tag with an engraved Fendi logo. Attach yours to your bag or set of keys for unconventional fun.",91
72,egg sticker,White mink fur egg sticker from Anya Hindmarch.,91
73,V logo sticker,"Chalk white leather V logo sticker from Anya Hindmarch. Created in collaboration with Charlotte Stockdale of Chaos Fashion, these stickers are designed to adhere to any surface permanently, so once attached they cannot be removed.",91
74,Fjallraven Kanken Set Of 2 Shoulder Strap Pads -,A pair of cushy shoulder pads is designed specifically for use with Fjallraven's Kanken backpack-making for comfortable carry of heavier loads. Style Name: Fjallraven Kanken Set Of 2 Shoulder Strap Pads. Style Number: 5424056. Available in stores.,91
75,Strap You studded strap,"Update your favourite everyday bag with this Strap You studded strap from Fendi. Crafted from luxury white calf leather, this Strap You features lobster claw fastenings, a rear logo stamp and is decorated with scalloped details and multicoloured conical studs across it.",91
76,'Y' sticker,"Yellow goatskin 'Y' sticker from Anya Hindmarch. Created in collaboration with Charlotte Stockdale of Chaos Fashion, these stickers are designed to adhere to any surface permanently, so once attached they cannot be removed.",91
77,Bomb sticker,Blue suede 'Bomb' sticker from Anya Hindmarch.,91
78,Bomb sticker,Blue suede 'Bomb' sticker from Anya Hindmarch.,91
79,Fendi Strap You Logo Crossbody Guitar Strap - Beige,Add major style to your favorite bag with this color-pop strap detailed with Fendi logos. Style Name: Fendi Strap You Logo Crossbody Guitar Strap. Style Number: 5482859. Available in stores.,91
80,J.crew Genuine Calf Hair Luggage Tag - Brown,A fun pattern makes your bag stand out on the luggage carousel and creates just the right amount of jet-set jealousy. Style Name:J.crew Genuine Calf Hair Luggage Tag. Style Number: 5720383. Available in stores.,91
81,Cathy's Concept Monogram Tech Travel Case - Grey,"Elasticized bands to keep cords tangle free and a roomy pocket make this faux leather case an ideal solution for organizing your tech essentials for travel. Plus, it can be personalized with an initial of your choice. Style Name: Cathy's Concept Monogram Tech Travel Case. Style Number: 5700163 1. Available in stores.",91
82,bag charm flower,Green leather bag charm flower from Sonia Rykiel.,91
83,mini Karlito bag charm,"The wonderfully creative Karl Lagerfield continues to create adorable fun fur pieces for Fendi. This white rabbit fur mini Karlito bag charm from Fendi features a rhinestone embellishment tie and collar, a black strap and a silver-tone comb, spring clip and logo plaque. Please note that this item cannot be shipped outside the E.U..",91
84,embellished bag strap,Light blue and red leather embellished bag strap from Dolce & Gabbana featuring rounded studs.,91
85,'R' sticker,"Blue goatskin 'R' sticker from Anya Hindmarch. Created in collaboration with Charlotte Stockdale of Chaos Fashion, these stickers are designed to adhere to any surface permanently, so once attached they cannot be removed.",91
86,Fjallraven Kanken Cotton Mini Shoulder Pads - Green,Add instant cushioning to the straps of the Fjallraven Mini Kanken backpack (sold separately) with these easy-to-install shoulder pads that attach with buttoned hook-and-loop closures. Style Name: Fjallraven Kanken Cotton Mini Shoulder Pads. Style Number: 5383137. Available in stores.,91
87,J.crew Metallic Leather Luggage Tag - Black,A shimmering metallic finish brings standout style to an Italian-leather luggage tag that serves as a chic way to ID your bag at pickup. Style Name:J.crew Metallic Leather Luggage Tag. Style Number: 5720386. Available in stores.,91
88,Heart sticker,"Red and black suede and crystal Heart sticker from Anya Hindmarch featuring a heart diamante motif. Created in collaboration with Charlotte Stockdale of Chaos Fashion, these stickers are designed to adhere to any surface permanently, so once attached they cannot be removed.",91
89,Fendi Strap You Logo Crossbody Guitar Strap - Beige,Add major style to your favorite bag with this color-pop strap detailed with Fendi logos. Style Name: Fendi Strap You Logo Crossbody Guitar Strap. Style Number: 5482859. Available in stores.,91
90,J.crew Leather Luggage Tag - Pink,A eye-catching pink hue brings standout appeal to an Italian-leather luggage tag that serves as a chic way to ID your bag at pickup. Style Name:J.crew Leather Luggage Tag. Style Number: 5720387. Available in stores.,91
91,Alphabet patch,"Violet, white and black Alphabet patch from Olympia Le-Tan featuring a touch fastening design and glass bead embroidery. Please note, this item can be used as a brooch.",91
92,Fendi Set Of 2 Strap You Mini Top Handle & Logo Crossbody Strap -,Add major style to your favorite bag or convert a shoulder or crossbody look to a handheld bag-and vice versa-with this pair of interchangeable straps detailed with Fendi logos. Style Name: Fendi Set Of 2 Strap You Mini Top Handle & Logo Crossbody Strap. Style Number: 5482889. Available in stores.,91
93,'A' sticker,"Multicolour goatskin 'A' sticker from Anya Hindmarch. Created in collaboration with Charlotte Stockdale of Chaos Fashion, these stickers are designed to adhere to any surface permanently, so once attached they cannot be removed.",91
94,Alphabet patch,"Violet, white and black Alphabet patch from Olympia Le-Tan featuring a touch fastening design and glass bead embroidery. Please note, this item can be used as a brooch.",91
95,Marc Jacobs Redux Grunge Logo Webbed Bag Charm - Yellow,Add a sporty flourish to your favorite handbag or keys with this playful charm featuring a vintage-inspired logo. Style Name: Marc Jacobs Redux Grunge Logo Webbed Bag Charm. Style Number: 5708457. Available in stores.,91
96,'X' sticker,"Multicolour goatskin 'X' sticker from Anya Hindmarch. Created in collaboration with Charlotte Stockdale of Chaos Fashion, these stickers are designed to adhere to any surface permanently, so once attached they cannot be removed.",91
97,'R' sticker,"Blue goatskin 'R' sticker from Anya Hindmarch. Created in collaboration with Charlotte Stockdale of Chaos Fashion, these stickers are designed to adhere to any surface permanently, so once attached they cannot be removed.",91
98,Cathy's Concepts Monogram Vegan Leather Tech Travel Case -,"Elasticized bands to keep cords tangle free and a roomy pocket make this vegan leather case an ideal solution for organizing your tech essentials for travel. Plus, it can be personalized with an initial of your choice. Style Name: Cathy's Concepts Monogram Vegan Leather Tech Travel Case. Style Number: 5700163 1. Available in stores.",91
99,Bag Bugs backpack bag charm,"Yellow leather Bag Bugs backpack bag charm from Fendi featuring a backpack shape, a front pocket, a pink and black fox fur crest, a signature Bag Bugs design and a palladium spring clip, ring and zipper. Please note that this item cannot be shipped outside the E.U..",91
100,Toptote Leather Hat Clip - Red,"Designer Lindsay Albanese eliminates the need for a bulky hat box with a revolutionary clip that lets you carry your hat hands-free when you're out and about. Simply attach the clip to your hat's brim and then hook the carabiner ring onto your bag, carry-on, keychain or luggage tag for a carefree travel solution. Best of all? Because each one looks like a modern handbag charm when it's not in use, you can stock up on multiple clips so you're",91
101,pom pom bag strap,Multicoloured cotton and raccoon fur pom pom bag strap from Anya Hindmarch.,91
102,blue Fendirumi Bug-kun bag charm,"Blue mink and fox fur blue Fendirumi Bug-kun bag charm from Fendi featuring a nappa leather strap, a palladium spring clip and logo tag, a yellow inlaid FF logo and a signature Bag Bugs inspired design. Please note that this item cannot be shipped outside the E.U..",91
103,strap bag attachment,"The collection from Fendi features playfully striking detailing - elaborating the elegantly decadent spirit of the brand. Revive your Fendi bag with this light blue leather strap bag attachment. Made in Italy, it features a clip fastening, silver-tone hardware and is finished with pyramid studs.",91
104,embellished bag strap,Light blue and red leather embellished bag strap from Dolce & Gabbana featuring rounded studs.,91
105,J.crew Genuine Calf Hair Luggage Tag - Brown,A fun pattern makes your bag stand out on the luggage carousel and creates just the right amount of jet-set jealousy. Style Name:J.crew Genuine Calf Hair Luggage Tag. Style Number: 5720383. Available in stores.,91
106,Fringe-eyes charm,"Add a playful vibe to your ensemble with Fendi's Fringe-eyes charm. Crafted from leather and metal, this red and blue Fringe-eyes charm features a silver-tone chain with spring clip, a blue faux-fur motif with long red leather fringes to create a Fendi Faces shape and a metal tag with an engraved Fendi logo. Attach yours to your bag or set of keys for unconventional fun.",91
107,pom pom bag strap,Multicoloured cotton and raccoon fur pom pom bag strap from Anya Hindmarch.,91
108,beaded bag strap,"Italian label Dolce & Gabbana bring their baroque taste for ornamentation to this detachable bag strap, crafted in light pink and green calf leather. The saffiano textured strap features a zigzag contrast design, finished with multicolour enamel and metal dome beads, a logo stamped inverse and gold-tone adjustable fastenings.",91
109,'E' sticker,"Red goatskin 'E' sticker from Anya Hindmarch. Created in collaboration with Charlotte Stockdale of Chaos Fashion, these stickers are designed to adhere to any surface permanently, so once attached they cannot be removed.",91
110,Bag Bug charm,"The wonderfully creative Karl Lagerfield continues to create adorable fun fur pieces for Fendi. Who needs a pet when you have this fluffy little monster on your arm? This multicoloured lambskin, mink fur and fox fur Bag Bug's bag charm from Fendi features a silver-tone hardware and crystal embellishments. Please note that this item cannot be shipped outside the E.U..",91
111,Fringe-eyes charm,"Add a playful vibe to your ensemble with Fendi's Fringe-eyes charm. Crafted from leather and metal, this red and blue Fringe-eyes charm features a silver-tone chain with spring clip, a blue faux-fur motif with long red leather fringes to create a Fendi Faces shape and a metal tag with an engraved Fendi logo. Attach yours to your bag or set of keys for unconventional fun.",91
112,Calpak 5-Piece Packing Cube Set -,"A place for everything and everything in its place: This smartly set-up travel system features a set of four packing cubes and a water-resistant pouch for wet/dry storage. The breathable mesh front lets you easily identify what's inside and the exterior ID label lets you add names to separate among different people, leaving you perfectly organized on your trip. Style Name: Calpak 5-Piece Packing Cube Set. Style Number: 5473645. Available in",91
113,Valentino Garavani leaf bag charm,Pink calf leather Valentino Garavani leaf bag charm from Valentino featuring gold-tone Rockstud embellishments.,91
114,'F' sticker,"Multicolour goatskin 'F' sticker from Anya Hindmarch. Created in collaboration with Charlotte Stockdale of Chaos Fashion, these stickers are designed to adhere to any surface permanently, so once attached they cannot be removed.",91
115,Cathy's Concept Monogram Vegan Leather Tech Travel Case -,"Elasticized bands to keep cords tangle free and a roomy pocket make this vegan leather case an ideal solution for organizing your tech essentials for travel. Plus, it can be personalized with an initial of your choice. Style Name: Cathy's Concept Monogram Vegan Leather Tech Travel Case. Style Number: 5700163 2. Available in stores.",91
116,Fjallraven Kanken Set Of 2 Shoulder Strap Pads -,A pair of cushy shoulder pads is designed specifically for use with Fjallraven's Kanken backpack-making for comfortable carry of heavier loads. Style Name: Fjallraven Kanken Set Of 2 Shoulder Strap Pads. Style Number: 5424056. Available in stores.,91
117,Cathy's Concepts Monogram Vegan Leather Tech Travel Case -,"Elasticized bands to keep cords tangle free and a roomy pocket make this vegan leather case an ideal solution for organizing your tech essentials for travel. Plus, it can be personalized with an initial of your choice. Style Name: Cathy's Concepts Monogram Vegan Leather Tech Travel Case. Style Number: 5700163. Available in stores.",91
118,beaded bag strap,"Italian label Dolce & Gabbana bring their baroque taste for ornamentation to this detachable bag strap, crafted in light pink and green calf leather. The saffiano textured strap features a zigzag contrast design, finished with multicolour enamel and metal dome beads, a logo stamped inverse and gold-tone adjustable fastenings.",91
119,Calpak 5-Piece Packing Cube Set -,"A place for everything and everything in its place: This smartly set-up travel system features a set of four packing cubes and a water-resistant pouch for wet/dry storage. The breathable mesh front lets you easily identify what's inside and the exterior ID label lets you add names to separate among different people, leaving you perfectly organized on your trip. Style Name: Calpak 5-Piece Packing Cube Set. Style Number: 5473645. Available in",91
120,Witches bag charm,"Karl Lagerfeld is an icon unto himself and has imparted his playful stylistic vision into the designs of the Roman maison of Fendi for over fifty years. Crafted from black and gold-tone calf leather and mink fur, this Witches bag charm from Fendi features a two tone design, gold-tone hardware, flexible legs with small furry shoes, a spring clip with an engraved Fendi logo and square metal eyes with mink fur details.",91
121,Peace & Love sticker,"Chalk white leather 'peace and love' sticker from Anya Hindmarch. Created in collaboration with Charlotte Stockdale of Chaos Fashion, these stickers are designed to adhere to any surface permanently, so once attached they cannot be removed.",91
122,embellished bag strap,"Revive your favourite Dolce & Gabbana bag with this embellished bag strap for a bold edge. Crafted from luxury deep yellow calf leather with a snakeskin effect, this bag strap features gold-tone lobster claw fastenings and is decorated with multicoloured gemstone, spike, rounded, star and pyramid stud embellishments for a rocker edge.",91
123,Alphabet patch,"Violet, white and black Alphabet patch from Olympia Le-Tan featuring a touch fastening design and glass bead embroidery. Please note, this item can be used as a brooch.",91
124,Cathy's Concepts Monogram Vegan Leather Tech Travel Case -,"Elasticized bands to keep cords tangle free and a roomy pocket make this vegan leather case an ideal solution for organizing your tech essentials for travel. Plus, it can be personalized with an initial of your choice. Style Name: Cathy's Concepts Monogram Vegan Leather Tech Travel Case. Style Number: 5700163 2. Available in stores.",91
125,grained pouch,Nude and neutrals calf leather grained pouch from Valextra.,91
126,rabbit fur bag charm,Blue rabbit fur bag charm from Moncler featuring a lobster clasp fastening and a hanging logo plaque.,91
127,'L' sticker,"Multicolour goatskin 'L' sticker from Anya Hindmarch. Created in collaboration with Charlotte Stockdale of Chaos Fashion, these stickers are designed to adhere to any surface permanently, so once attached they cannot be removed.",91
128,hashtag symbol sticker,"Multicolour goatskin hashtag symbol sticker from Anya Hindmarch. Created in collaboration with Charlotte Stockdale of Chaos Fashion, these stickers are designed to adhere to any surface permanently, so once attached they cannot be removed.",91
129,Cathy's Concepts Monogram Vegan Leather Tech Travel Case -,"Elasticized bands to keep cords tangle free and a roomy pocket make this vegan leather case an ideal solution for organizing your tech essentials for travel. Plus, it can be personalized with an initial of your choice. Style Name: Cathy's Concepts Monogram Vegan Leather Tech Travel Case. Style Number: 5700163 2. Available in stores.",91
