,name,description,id
27,Gucci Logo Leather Drawstring Backpack - White,"In font inspired by vintage '80s styles, the Gucci logo stands out above signature stripes on a drawstring-cinched leather tote that's also outfitted with corded backpack straps. A tethered leather zip pouch serves as an easy-to-find interior pocket. Style Name: Gucci Logo Leather Drawstring Backpack. Style Number: 5520168. Available in stores.",51
28,Versace 905 Vintage Logo Backpack - None,Bold logo graphics amp up the fashion cred of a street-smart nylon backpack that serves as a chic accessory for all your urban adventures. Style Name: Versace 905 Vintage Logo Backpack. Style Number: 5708951. Available in stores.,51
29,quilted backpack,"Black nylon quilted backpack from Moschino featuring a top handle, a top zip fastening, a gold-tone logo plaque, a front zip compartment, adjustable shoulder straps, an internal zipped pocket and an internal logo plaque.",51
30,Fjallraven Kanken No. 2 Backpack - Yellow,"This versatile backpack that can be alternately carried like a tote was originally designed as a school bag for Swedish children in the late 1970s. Made from heavy-duty, waxable G-1000 fabric that repels water and detailed with genuine leather trim, this sturdy pack not only evokes classic style but also offers durable, long-lasting functionality. Style Name: Fjallraven Kanken No. 2 Backpack. Style Number: 970171. Available in stores.",51
31,Eartha Iconic Convertible Backpack,"Zac Posen seamlessly uses his label鈥檚 signature luxe attitude to meet the needs of a modern-day city girl, presenting silhouettes that are both stylish and practical in the ZAC Zac Posen accessory line. The 鈥楨artha Iconic鈥?is an instantly recognised style from the acclaimed American designer, arriving for the new season in a convertible backpack variation. Fashioned from versatile black leather, the multi-purpose handbag boasts an angular structure, fold over top with a turn-lock fastening, an internal slip pocket and standout gold-tone hardware. Carry it in-hand using the structured top handle, or swing it over your back from the comfortable, optional shoulder straps.",51
32,Ted Baker London Leather Backpack - Pink,Rich pebbled leather and signature rose-goldtone hardware bring luxe refinement to a campus-classic backpack trimmed with a pair of swingy tassels. Style Name: Ted Baker London Leather Backpack. Style Number: 5644719. Available in stores.,51
33,Superdry Monoline Tarp Backpack,The padded back offers an element of comfort while adjustable clip fastenings at the side of the backpack help keep your essentials secure. The backpack is completed with a high build logo design on the front and logo graphic on one shoulder strap. 20.5 liter approximate main compartment capacity.,51
34,Superdry Academic Backpack,Finished with Superdry logo detailing across the front and a rubberised Superdry logo badge on the front and one strap. 21 liter approximate main compartment capacity.,51
35,quilted backpack,"Black quilted backpack from Moschino featuring a two way zip fastening, a front logo plaque, stitching details, a front zip pocket, a top handle, adjustable shoulder straps, an internal zipped pocket and an internal logo patch.",51
36,Jansport City View Black Agave Zebra Backpack,"There's room for a little more inside this super-sleek Jansport backpack, a spacious bag with stylish flair. The interior includes protection for a laptop.",51
37,Nine West Delilah Backpack,The Delilah Backpack features one zipper pocket and one slip pocket on the interior. The exterior includes a slip pocket and a pin letter logo with chain detail.,51
38,Michael Michael Kors Medium Leather Backpack - Black,Take your street style to the next level of contemporary sophistication with a pebbled-leather backpack featuring polished logo hardware. Style Name: Michael Michael Kors Medium Leather Backpack. Style Number: 5588949. Available in stores.,51
39,Tommy Jeans Logo Strap Fleece Mini Backpack - Ivory,Snowy high-pile fleece gives this shrunken backpack a cuddly vibe that's perfect for the season. Style Name: Tommy Jeans Logo Strap Fleece Mini Backpack. Style Number: 5738706. Available in stores.,51
40,Sole Society Marah Faux Leather Backpack - Black,"A '90s-inspired backpack made of soft, supple faux leather takes all you need with you at a moment's notice. This structured style is designed to keep a world of essentials organized and at hand for a day or a whole weekend. Style Name: Sole Society Marah Faux Leather Backpack. Style Number: 5741139. Available in stores.",51
41,Hugo Boss Men's Pixel Logo Backpack,Hugo Boss keeps you organized on the go with this stylish backpack with plenty of pockets.,51
42,Urban Originals Women's Lovesome Backpack,The Lovesome Backpack by Urban Originals is practical yet sophisticated in its design.,51
43,Marti backpack,"Black lambskin Marti backpack from Alexander Wang featuring a detachable shoulder strap, a front flap closure with zipped pocket to the front, two large zip fastening pockets to the sides, zip detail to the front and rear, two size adjustable padded shoulder straps and a fabric lining with an internal designer patch and an internal zipped pocket.",51
44,Tumi Stanton Indra Commuter Backpack - Grey,A roomy backpack complete with plenty of designated pockets and a padded laptop compartment will take you from work to weekend or travel adventures at a moment's notice. Style Name: Tumi Stanton Indra Commuter Backpack. Style Number: 5642776. Available in stores.,51
45,Diesel Men's Leather Backpack with Drawstring - Black,"Iconic style rendered by leather and logo imprint Drawstring closure Fully lined 15""Wx16""Hx3""D Leather Imported. Men Accessories - Leather Goods > Saks Fifth Avenue > Barneys. Diesel. Color: Black.",51
46,Uri Minkoff Men's Leather Backpack - Bordeaux,"Experly organized backpack of rich leather Top handle, 3"" drop Adjustable backpack straps Zip-around closure Three outside zip pockets One inside zip pocket One inside laptop pocket Two inside open pockets Two inside pen holders Five inside credit card slots Fully lined 12.5""W X 16.25""H X 4.25""D Leather Imported. Men Accessories - Leather Goods > Saks Fifth Avenue > Barneys. Uri Minkoff. Color: Bordeaux.",51
47,Trouve Teri Nylon Backpack - Green,"A super-lightweight backpack in channel-quilted nylon features a soft silhouette and padded, adjustable backpack straps. Lots of pockets provide ample storage for your school, work, gym or weekend gear. Style Name: Trouve Teri Nylon Backpack. Style Number: 5622381. Available in stores.",51
48,Urban Originals Modernism Vegan Leather Backpack - Grey,"Impeccably minimalist, a sleek backpack cut from smooth PETA-certified vegan leather hangs from long, slender straps. Style Name: Urban Originals Modernism Vegan Leather Backpack. Style Number: 5677929. Available in stores.",51
49,GG Supreme backpack,"GG Supreme canvas backpack, finished with black leather details and rubberized hardware. Beige/ebony GG Supreme canvas, a material with low environmental impact. Gucci trademark leather tag detail. Black mesh back. Front zipper pocket. Interior smart phone pockets. Interior padded sleeve for tablet with leather tab and a touch fastening closure. W24cm x L27cm. Leather handle. Black nylon padded and adjustable shoulder straps. Zipper closure. W31.5cm x H41cm x D14.5cm. Microfiber lining with a suede-like finish. Made in Italy.",51
50,Nike Hayward Futura 2.0 Backpack,"Get a classic look with today's convenience in this Hayward Futura 2.0 backpack from Nike, smartly organized with room for all your essentials.",51
51,Brahmin Rosemary Melbourne Embossed Leather Backpack,"The Large Rosemary is a sleek and spacious backpack. Adjustable straps allow you to customize the perfect fit. Drop your phone in the back slide-in pocket, and keep your essentials within arm's reach with this backpack's various interior compartments.",51
52,Rebecca Minkoff Julian Backpack - Blue,"A campus-classic backpack goes glam in glazed, lavishly textured leather for serious street-chic attitude. A gleaming goldtone clip-lock detail and dangling zip tassels add signature touches. Style Name: Rebecca Minkoff Julian Backpack. Style Number: 855248. Available in stores.",51
53,Urban Originals Evolution Vegan Leather Backpack - Beige,"Rich, supple vegan leather elevates a clean-lined backpack with a vibe that's both timeless and modern. Style Name: Urban Originals Evolution Vegan Leather Backpack. Style Number: 5570818. Available in stores.",51
54,Jansport Desert Collection Mini Backpack -,The classic patch is swapped for discreet embossing on this dome-like structured backpack made of premium suede that's tough enough for plenty of adventures. Style Name: Jansport Desert Collection Mini Backpack. Style Number: 5717999. Available in stores.,51
55,Nile rucksack,Black leather Nile rucksack from C么te&Ciel. This item is unisex.,51
56,Tommy Hilfiger Men's Leo Backpack,"An understated bag with subtle signature details, this Tommy Hilfiger backpack is in durable Cordura nylon for lasting style. Pockets inside and out help keep your day on track.",51
57,Fjallraven 'Mini Kanken' Water Resistant Backpack - Black,"Scandinavian design has long been known for offering practical, functional pieces that are beautiful to behold but are meant to be used. Originally designed in the '70s for Swedish school children, a now-iconic backpack is crafted from durable, water-resistant Vinylon F fabric and features a stylish, contemporary silhouette. Style Name: Fjallraven 'Mini Kanken' Water Resistant Backpack (Nordstrom Exclusive Color). Style Number: 822825.",51
58,Rhine Eco Yarn backpack,C么te&Ciel CC28038 BLACK Synthetic->Polyester,51
59,Fjallraven Re Kanken Backpack,"Ready to be carried, traveled with and loved - and in the far and distant future, recycled again. The Re-Kanken backpack from Fjallraven is a handy companion to your outdoor adventures.",51
60,adidas Prime V Backpack,"You're ready for campus or the commute with this adidas packet. Five exterior pockets keep a phone, wallet and more handy, while a padded laptop compartment protects this essentials. LoadSpring straps make carrying easier.",51
61,Ted Baker London Leather Backpack - Grey,Rich pebbled leather and signature rose-goldtone hardware bring luxe refinement to a campus-classic backpack trimmed with a pair of swingy tassels. Style Name: Ted Baker London Leather Backpack. Style Number: 5644719. Available in stores.,51
62,Doughnut Mini Macaroon Colorblock Water Resistant Backpack - Burgundy,"Whether you're commuting across town or off on an urban adventure, this boxy backpack made from durable water-repellent twill holds all the essentials in organized style. The compact and organized design with padded tablet compartment is stylish yet rugged, complete with hearty smooth leather and webbed trim. Style Name: Doughnut Mini Macaroon Colorblock Water Resistant Backpack. Style Number: 5645274. Available in stores.",51
63,adidas Vfa Premium Backpack,"Premium layered mesh brings a fresh look to this adidas backpack, with exterior pockets and padded laptop protection perfect for the campus or the gym.",51
64,Longchamp Veau Leather Backpack -,"A stealth zip pocket in back and a larger zip pocket in front help you stay organized in this chic city backpack styled with long, thin straps. Style Name: Longchamp Veau Leather Backpack. Style Number: 792691. Available in stores.",51
65,Mz Wallace Metro Backpack - Black,"Lots of pockets and a detachable pouch provide ample storage for your very important school, work or everyday supplies in this lightweight backpack. Style Name: Mz Wallace Metro Backpack. Style Number: 837490. Available in stores.",51
66,Fjallraven Kanken No. 2 Backpack - Green,"This versatile backpack that can be alternately carried like a tote was originally designed as a school bag for Swedish children in the late 1970s. Made from heavy-duty, waxable G-1000 fabric that repels water and detailed with genuine leather trim, this sturdy pack not only evokes classic style but also offers durable, long-lasting functionality. Style Name: Fjallraven Kanken No. 2 Backpack. Style Number: 970171. Available in stores.",51
67,See By Chloe Small Olga Leather Backpack - Grey,"Curved edges and signature ring hardware bring impeccable moto edge to a sized-down backpack in sumptuous, textured leather. Style Name: See By Chloe Small Olga Leather Backpack. Style Number: 5646822. Available in stores.",51
68,Urban Originals Women's Splendour Backpack,The Splendour Backpack by Urban Originals is super soft to the touch. This cute little backpack comes in some exciting colours and features drawstring closure.,51
69,Kenzo Mini Kanvas Embroidered Tiger Stripe Backpack - Pink,"Flaunting colorful tiger embroidery and bold stripes, this scaled-down backpack made of durable canvas is as tough as it is fierce. Style Name: Kenzo Mini Kanvas Embroidered Tiger Stripe Backpack. Style Number: 5500866. Available in stores.",51
70,Fjallraven 'Kanken' Laptop Backpack - Purple,"Moisture-repelling Vinylon F fabric shapes a slim and durable all-purpose backpack fitted with a convertible shoulder strap system that allows it to be carried as a backpack or rucksack. The full front zip opening allows for traditional top loading or front loading of the backpack, while the removable seat pad is perfect for watching a ballgame in the bleachers. Style Name: Fjallraven 'Kanken' Laptop Backpack (15 Inch). Style Number: 921732.",51
71,Tommy Hilfiger Men's Alexander Backpack,Burst onto the scene! Tommy Hilfiger's Alexander backpack comes in a vibrant colorway and has plenty of space to hold all the essentials.,51
72,patterned backpack,Black leather patterned backpack from Private Stock.,51
73,Hoy Travel Cycle backpack,Black calf leather blend Hoy Travel Cycle backpack from Ally Capellino. This item is unisex.,51
74,Nike heritage backpack in black,Backpack by Nike Ripstop/Durable canvas/Shower/Waterproof fabric {Grab handle/Reinforced grab handle} {Padded/Ergonomic straps and back for comfort} {External pocket} {Taped/Concealed zip fastening} {Ventilated design to back} {Chest straps for extra comfort} {Bungee cords to front for extra storage} {Inner utility pockets for smaller items} {Padded/Lined sleeve for laptop or tablet} Can hold up to litres (if applicable),51
75,Roxy Ocean Vibes Striped Backpack,Embrace chill vibes with this Roxy backpack featuring comfy padded straps and stylish striped accents.,51
76,Urban Originals Sincerely Vegan Leather Backpack - Black,Polished hardware gleams against the smooth vegan-leather exterior of a minimalist backpack featuring plenty of pockets to keep essentials organized. Style Name: Urban Originals Sincerely Vegan Leather Backpack. Style Number: 5708687. Available in stores.,51
77,Chloe Mini Faye Leather & Suede Backpack - Black,"Iconic equestrian-inspired hardware gleams against the chic mix of buttery-soft suede and leather on Chloe's Faye backpack. With its slightly slouchy silhouette, spacious interior and pair-with-anything hue, this luxe yet laid-back style is sure to become your new go-to. Style Name: Chloe Mini Faye Leather & Suede Backpack. Style Number: 5320629. Available in stores.",51
78,adidas Originals Santiago Backpack,"An understated contemporary look, this backpack from adidas Originals includes protection for a tablet or laptop. A zip pocket at the front keeps must-have items handy.",51
79,Fjallraven 'Kanken No. 2' Backpack - Brown,"This versatile backpack that can be alternately carried like a tote was originally designed as a school bag for Swedish children in the late 1970s. Made from heavy-duty, waxable G-1000 fabric that repels water and detailed with genuine leather trim, this sturdy pack not only evokes classic style, it offers durable, long-lasting functionality. Style Name: Fjallraven 'Kanken No. 2' Backpack. Style Number: 970171. Available in stores.",51
80,ASOS Unrvlld Supply mini backpack in cobalt blue with branded patch,Backpack by ASOS DESIGN Two straps are better than one Grab handle Padded straps and back for comfort External pocket Taped zip fastening Small logo detail,51
81,Fjallraven 'Mini Kanken' Water Resistant Backpack -,"Scandinavian design has long been known for offering practical, functional pieces that are beautiful to behold but are meant to be used. Originally designed in the '70s for Swedish school children, a now-iconic backpack is crafted from durable, water-resistant Vinylon F fabric and features a stylish, contemporary silhouette. Style Name: Fjallraven 'Mini Kanken' Water Resistant Backpack (Nordstrom Exclusive Color). Style Number: 822825.",51
82,Eastpak Padded Pak'R Nylon Backpack - Grey,"An iconic logo patch brands a campus-classic pack shaped from tough nylon canvas and featuring a padded back and straps for a comfortable carry. A spacious main compartment has ample room for books, laptop and other essentials, while an exterior zip pocket provides quick access to your phone and keys. Style Name: Eastpak Padded Pak'R Nylon Backpack. Style Number: 5632728 2. Available in stores.",51
83,Tumi Men's Alpha Bravo Sheppard Deluxe Backpack,"Leather trim lends business-ready sophistication to this Tumi backpack, a deluxe organizer that keeps essentials from electronics to pens at your fingertips. Part of the Alpha Bravo collection, the bag features five exterior pockets for added convenience.",51
84,Mercado Global Mini Lorena Woven Backpack - Black,"Handmade in Guatemala by local artisans, this just-right backpack is fashioned using traditional weaving techniques for plenty of bold, graphic impact. Style Name: Mercado Global Mini Lorena Woven Backpack. Style Number: 5764532. Available in stores.",51
85,Urban Originals Solo Origin Vegan Leather Convertible Backpack - Black,A perforated zip pouch pocket adds textural interest to a foldover-top backpack made from high-quality vegan leather. The style converts from a backpack to a crossbody tote thanks to adjustable straps. Style Name: Urban Originals Solo Origin Vegan Leather Convertible Backpack. Style Number: 5708675 2. Available in stores.,51
86,Champion Mercury Logo Backpack,"Grab your gear and go with this sporty look from Champion, a roomy backpack with a zip pocket at the front that keeps small items handy. (Clearance)",51
87,Eastpak Padded Pak'R backpack in dark gray 24l,Backpack by Eastpak Two straps are better than one Grab handle Padded straps and back for comfort External pocket Eastpak logo detail Concealed zip fastening Can hold up to 24 litres,51
88,High Sierra Fat Boy Backpack,"Keep it together on the go with this stylish backpack from High Sierra, a roomy bag with multiple compartments. Padding at the straps and back help lighten the load.",51
89,Fjallraven 'Mini Kanken' Water Resistant Backpack - Blue,"Scandinavian design has long been known for offering practical, functional pieces that are beautiful to behold but are meant to be used. Originally designed in the '70s for Swedish school children, a now-iconic backpack is crafted from durable, water-resistant Vinylon F fabric and features a stylish, contemporary silhouette. Style Name: Fjallraven 'Mini Kanken' Water Resistant Backpack (Nordstrom Exclusive Color). Style Number: 822825.",51
90,Fila Zenon mini backpack in iridescent-Clear,Backpack by Fila Completes your look and carries your stuff Irridescent design Grab handle Branded shoulder straps External pocket Zip-top closure,51
91,Longchamp 'Le Pliage' Backpack - Green,"Strap on a stylish standby with a durable, water-resistant nylon backpack topped with a textured leather handle and logo-embossed flap. Style Name: Longchamp 'Le Pliage' Backpack. Style Number: 256789. Available in stores.",51
92,Marc Jacobs Snapshot Mini Leather Backpack - Red,A polished stacked-J logo emblem and bold color blocking distinguish a scaled-tiny backpack crafted from Saffiano leather. Chain-and-webbing straps bring modern edge to the polished look styled with dual compartments to keep essentials organized. Style Name: Marc Jacobs Snapshot Mini Leather Backpack. Style Number: 5708455 1. Available in stores.,51
93,High Sierra Clear Top-Load Backpack,"Perfect for the stadium, this clear backpack from High Sierra makes clearing security a little easier. It features multiple compartments that help keep you organized.",51
94,Urban Originals Dream On Vegan Leather Backpack -,Allover pin dot perforations add interest to a roomy backpack made from high-quality faux leather. Style Name: Urban Originals Dream On Vegan Leather Backpack. Style Number: 5702349. Available in stores.,51
95,Treasure & Bond Remy Pebbled Leather Backpack - Burgundy,"An elongated silhouette and modern fold-over flap amplify the street-chic aesthetic of a pebbled-leather backpack with plenty of pockets to help you stay organized. When you buy Treasure & Bond, Nordstrom will donate 2.5% of net sales to organizations that work to empower youth. Style Name: Treasure & Bond Remy Pebbled Leather Backpack. Style Number: 5567825. Available in stores.",51
96,Bottega Veneta Men's Leather & Canvas Backpack - Nero Nero,"Utlitarian canvas backpack with woven leather detail Top handle Adjustable backpack straps Buckled flap with drawstring closure Outside zip pocket Two outside flap pockets Interior snap flap pocket Gunmetal hardware Inside zip pocket 12""W x 17'H Nylon/leather Lined Made in Italy. Men Accessories - Leather Goods > Saks Fifth Avenue > Barneys. Bottega Veneta. Color: Nero Nero.",51
97,Dooney & Bourke New England Patriots Pebble Murphy Backpack,"The Dooney & Bourke Nfl Pebble Murphy backpack is the perfect bag, pairing team spirit and a timeless design. This classically styled pebble-grain leather backpack will store all your essentials while showing off your love for your favorite team.",51
98,Polo Ralph Lauren Men's Nylon Polo Sport Backpack,"Constructed from durable nylon with a water-repellent base, this essential backpack celebrates the iconic Polo Ralph Lauren Sport collection first introduced in 1992. It features an interior tech pocket and exterior bungee cord for increased storage.",51
99,Saint Laurent Men's Sunset Palm City Backpack - Sun Multi,Sunset palm tree graphic adorns essential backpack with multiple zippers and pockets. Top handle Adjustable backpack straps Zipper closure One exterior zipper pocket One interior zipper pocket One interior laptop compartment One interior slip pocket Polyamide Made in Italy. Men Accessories - Leather Goods > Saint Laurent > Saks Fifth Avenue > Barneys. Saint Laurent. Color: Sun Multi.,51
100,Fjallraven Kanken Rainbow Backpack,Bright rainbow straps and handles bring a fun look to this classically styled backpack from Fjallraven.,51
101,Jansport Cross Town Backpack,"Add fun color to your day with this Jansport backpack, a roomy carryall with pockets outside that keep small items at your fingertips.",51
102,Solo Men's Highland Waxed-Cotton Printed Roll-Top Backpack,"A stylish update on a rugged classic, this roll-top backpack from Solo is a roomy bag with impressive features. There's padded protection for up to a 17.3"" laptop, while an organizer section at the front gives you quick access to essentials.",51
103,Fossil Men's Buckner Backpack,"Make sure your laptop, phone and any other essentials are secure with the Buckner backpack from Fossil, featuring adjustable straps to ensure comfort.",51
104,Micro Rockefeller backpack,Black Micro Rockefeller backpack from Valas.,51
105,Doughnut Mini Montana Water Repellent Backpack - Ivory,"Named for Montana, where outdoor explorations are always encouraged, this scaled-down water-resistant twill backpack is ideal for the adventurer who travels light. Fronted by two handy snap pockets and secured by a rugged hook on the flap, this convenient design holds the essentials without weighing you down. Style Name: Doughnut Mini Montana Water Repellent Backpack. Style Number: 5645275. Available in stores.",51
106,Tommy Jeans Logo Strap Vinyl Mini Backpack - Red,A glossy finish gives this shrunken backpack eye-catching appeal. Style Name: Tommy Jeans Logo Strap Vinyl Mini Backpack. Style Number: 5766672. Available in stores.,51
107,Matt & Nat Mini Brave Faux Leather Backpack - Blue,"Modern, minimalist lines define a compact backpack that's a suave commute essential. Style Name: Matt & Nat Mini Brave Faux Leather Backpack. Style Number: 5634236. Available in stores.",51
108,adidas Linear Mini Backpack,"Gold-tone hardware polishes this sporty look from adidas, a mini backpack that easily replaces a purse and gives you hands-free convenience on the go.",51
109,Puma Essential Backpack,"From the campus to the gym, keep your essentials handy on the go with this sleek backpack from Puma. An exterior pocket keeps must-haves at your fingertips, while the interior includes room for a laptop.",51
110,Flirting backpack,"Black Flirting backpack from Chiara Ferragni featuring a pebbled leather texture, a front zip pocket, a top handle, a top zip fastening, adjustable shoulder straps, an internal zipped pocket, an internal logo stamp and eye appliqu茅 detailing .",51
111,double strap backpack,Grey double strap backpack from Herschel Supply Co. featuring front pockets.,51
112,Saint Laurent Men's City Star-Print Backpack,"Star motif adds a touch of whimsy to this versatile backpack. Top handle Adjustable backpack straps Zip-around closure Silvertone hardware One outside zip pocket One inside zip pocket Polyamide Made in Italy SIZE 12.25""W x 16""H x 6""D. Men Accessories - Leather Goods > Saint Laurent > Saks Fifth Avenue > Barneys. Saint Laurent.",51
113,'Isar' small eco yarn bag,Black melange 'Isar' small eco yarn bag from C么te&Ciel.,51
114,Coach Men's Coach Patch Pacer Backpack - Cardinal Red,"Smooth leather backpack with brand patch and optimum pocketing. Top handle Adjustable padded backpack straps Top zipper closure Exterior zip pocket Interior zip pocket Interior cellphone pocket Interior multifunctional pockets Interior tech sleeve with secure tab Fabric lining Leather Imported SIZE 9.25""W x 17""H x 5.25""D. Men Accessories - Leather Goods > Saks Fifth Avenue > Barneys. Coach. Color: Cardinal Red.",51
115,Adidas Originals Big Logo Backpack - Black,"Durable fabric makes this smart backpack incredibly resilient, so it can withstand the rigors of travel or just a trip to the gym. Style Name: Adidas Originals Big Logo Backpack. Style Number: 5652432 1. Available in stores.",51
116,Kalencom Hadaki Leather Backpack,The unique design and shape of this bag is sure to catch everyone's eye. Hadaki's beautiful leather and detailed finish make this a backpack a true fashion accessory.,51
117,Vince Camuto Kira Leather Backpack - Black,Knotted drawstring straps and a perfectly slouchy silhouette distinguish a fashion-forward backpack in buttery-soft leather and finished with minimalist hardware. Style Name: Vince Camuto Kira Leather Backpack. Style Number: 5721596. Available in stores.,51
118,Champion Men's Clive Corduroy Backpack,"Classic corduroy brings soft texture to this Champion backpack, giving you a fresh look in organization on the go. (Clearance)",51
119,Michael Michael Kors Medium Junie Woven Leather Backpack -,Chevron-woven leather brings sophisticated style to a street-smart backpack finished with gleaming logo hardware. Style Name: Michael Michael Kors Medium Junie Woven Leather Backpack. Style Number: 5720770. Available in stores.,51
120,Kate Spade New York Jackson Street - Keleigh Leather Backpack - Beige,"Take on the weekend in style with a versatile, sized-down backpack shaped from richly pebbled leather. Style Name: Kate Spade New York Jackson Street - Keleigh Leather Backpack. Style Number: 5422872. Available in stores.",51
121,Tumi Men's Alpha Bravo Tyndall Utility Backpack,"Leather trim brings sophistication to this durable utility backpack from Hugo Boss, in ballistic nylon for lasting style. The roomy bag features protection for up to a 15"" laptop as well as pockets for a tablet and other essentials.",51
